game_name,MIXED,NEGATIVE,NEUTRAL,POSITIVE
APEX Legends,1759,42222,975,16411
Anthem,0,16,0,8
Assasin's Creed Unity,595,1964,63,2054
Baldur's Gate 3,7524,41694,3109,124594
Batman: Arkham Knight,596,3168,203,8212
Battlefield 2042,1527,16522,408,8881
Battlefield 4,343,2729,90,2547
Call of Duty: Modern Warfare III,200,5228,81,1387
Call of Duty: Warzone,138,5946,81,1071
Counter_Strike 2,5594,91397,3430,71061
Crash Bandicoot 4: It’s About Time,208,332,3,243
Cuphead,403,2677,151,5520
Cyberpunk 2077,8709,19374,1252,45301
DOTA 2,834,16724,614,84976
Dark Souls (Remastered),747,4886,262,8430
Delta Force (2024),2574,22366,624,19175
Devil May Cry 5,702,3134,202,5172
EA SPORTS FC™ 25,575,19025,259,4873
Escape From Tarkov,123,9094,1608,4919
Fallout 76,1688,9797,351,9367
Fortnite,9,383,6,105
Furi,104,456,19,762
Genshin Impact,33,643,20,229
Getting Over It with Bennett Foddy,320,3244,147,2614
Halo: The Master Chief Collection,680,6317,371,10746
Helldivers 2,55073,227970,9938,290338
Hogwarts Legacy,2119,10739,481,24995
Jump King,31,355,22,338
League of Legends,673,21646,704,5208
Mass Effect: Andromeda,315,1321,45,1066
Mighty No. 9,7,69,1,37
Mortal Shell,100,718,32,510
No Man's Sky,1988,9378,697,28562
Overwatch 2,2589,85547,2289,24151
PUBG: Battlegrounds,918,12654,408,10518
PalWorld,11026,32276,2217,71356
Rainbow 6: Siege,3764,63324,2023,44187
Sekiro: Shadows Die Twice,1106,6359,349,10586
SimCity (2013),0,64,1,17
Star Wars Battlefront II,1247,5928,350,8362
Street Fighter V,26,297,17,328
Super Meat Boy,67,559,23,823
The Binding of Isaac: Repentance,34,356,18,385
The Lord of the Rings: Gollum,31,156,2,59
Valorant,32,568,20,149
War Thunder,2637,36156,1427,28286
Warcraft III: Reforged,8,85,3,23
